Inicio;Fin;IRI
606880;606900;7,0
606900;606920;12,5
606920;606940;5,8
606940;606960;3,2
606960;606980;2,5
606980;607000;2,5
607000;607020;2,4
607020;607040;3,6
607040;607060;3,0
607060;607080;1,8
607080;607100;2,3
607100;607120;3,7
607120;607140;2,3
607140;607160;2,4
607160;607180;2,0
607180;607200;2,4
607200;607220;1,8
607220;607240;1,9
607240;607260;2,2
607260;607280;2,7
607280;607300;3,2
607300;607320;3,2
607320;607340;2,7
607340;607360;2,1
607360;607380;2,2
607380;607400;2,5
607400;607420;1,9
607420;607440;1,7
607440;607460;1,8
607460;607480;2,0
607480;607500;3,6
607500;607520;3,1
607520;607540;2,6
607540;607560;2,8
607560;607580;1,5
607580;607600;1,6
607600;607620;2,0
607620;607640;2,3
607640;607660;1,9
607660;607680;2,6
607680;607700;3,1
607700;607720;2,2
607720;607740;2,3
607740;607760;2,0
607760;607780;2,1
607780;607800;2,4
607800;607820;2,1
607820;607840;2,4
607840;607860;3,2
607860;607880;3,1
607880;607900;2,3
607900;607920;2,3
607920;607940;2,4
607940;607960;2,4
607960;607980;2,2
607980;608000;2,4
608000;608020;2,2
608020;608040;2,1
608040;608060;2,2
608060;608080;2,7
608080;608100;2,7
608100;608120;2,3
608120;608140;2,2
608140;608160;1,8
608160;608180;1,7
608180;608200;2,4
608200;608220;2,4
608220;608240;2,6
608240;608260;2,6
608260;608280;2,8
608280;608300;2,5
608300;608320;2,2
608320;608340;2,2
608340;608360;2,2
608360;608380;2,5
608380;608400;2,3
